index,core-mof-id
55,2017[Gd][nan]3[ASR]1
56,2017[Cu][kgd]2[ASR]1
57,2017[Cd][nan]3[ASR]1
58,2022[Gd][pcu]3[ASR]1
59,2013[Zn][pbz]3[ASR]1
60,2023[Zn][eta]3[ASR]1
61,2018[Zn][pcu]3[ASR]1
62,0000[Fe][pcu]3[ASR]1
63,2023[Zn][sra]3[ASR]1
64,2018[Zn][hxl]2[ASR]1
65,2018[Cu][pcu]2[ASR]1
66,2023[Zr][nbo]3[ASR]1
67,2008[La][nan]3[ASR]1
68,2008[Zn][pcu]3[ASR]1
69,2024[Cd][nan]2[ASR]1
70,2008[Eu][nan]3[ASR]1
71,2008[Sm][nan]3[ASR]1
72,2008[La][nan]3[ASR]2
73,2008[Ce][nan]3[ASR]1
74,2008[Gd][nan]3[ASR]1
75,2008[Nd][nan]3[ASR]1
76,2018[Cd][nan]3[ASR]1
77,2008[Cu][bpq]3[ASR]1
78,2018[Gd][nan]3[ASR]1
79,2018[Pr][nan]3[ASR]1
80,2013[Mn][fsc]3[ASR]1
81,2008[La][nan]3[ASR]3
82,2008[Cu][nan]3[ASR]1
83,0000[Co][stp]3[ASR]1
84,2022[Cd][cds]3[ASR]1
85,2013[Cu][nan]3[ASR]1
86,2008[Cd][rtl]3[ASR]1
87,2008[Cd][pts]3[ASR]1
88,2013[In][ncb]3[ASR]1
89,2013[In][ncb]3[ASR]2
90,2013[In][ncb]3[ASR]3
91,2009[Cu][hex]3[ASR]1
92,2009[Ni][xbe]3[ASR]1
93,2015[Cu][nan]3[ASR]2
94,2015[Co][bcu]3[ASR]1
95,0000[Cd][nan]3[ASR]1
96,0000[La][nan]3[ASR]1
97,2012[La][nan]3[ASR]2
98,2020[Cu][dia]3[ASR]1
99,2020[Cu][dia]3[ASR]2
100,2015[Cd][nan]3[ASR]1
101,2015[Cu][pcu]3[ASR]1
102,2020[Cu][sql]2[ASR]2
103,2010[Cd][nan]3[ASR]1
104,0000[In][sql]2[ASR]1
105,2010[Cu][ths]3[ASR]1
106,2021[Y][acs]3[ASR]1
107,2021[Zn][pcu]3[ASR]1
108,0000[Gd][pcu]3[ASR]1
109,2016[Ni][frl]3[ASR]1
110,2016[In][nan]3[ASR]2
111,2016[Cu][nts]3[ASR]1
112,2016[Zn][nts]3[ASR]1
113,2020[Y][pts]3[ASR]1
114,2010[Co][nan]3[ASR]1
115,2010[Eu][pcu]3[ASR]1
116,2010[Ce][pcu]3[ASR]1
117,2011[Co][hex]3[ASR]1
118,2011[Co][hex]3[ASR]2
119,2011[Ni][hex]3[ASR]1
120,2020[Zn][nan]3[ASR]1
121,2020[Zn][nan]3[ASR]2
122,2020[InTb][nan]3[ASR]1
123,2020[Co][cds]3[ASR]1
124,2020[Co][fsc]3[ASR]1
125,2020[Ni][kgd]2[ASR]1
126,2020[Ce][pts]3[ASR]1
127,2020[Pr][pts]3[ASR]1
128,2020[La][pts]3[ASR]1
129,2020[Cu][ant]2[ASR]1
130,2020[Cu][tbo]3[ASR]1
131,2017[Zn][dia]3[ASR]1
132,2017[Cd][dia]3[ASR]1
133,2017[Cd][sql]2[ASR]1
134,2017[Cd][sql]2[ASR]2
135,2017[Ni][sqc]3[ASR]1
136,2017[Zn][apo]3[ASR]1
137,2017[In][nan]3[ASR]1
138,2017[Cd][pcu]3[ASR]1
139,2017[Co][nan]3[ASR]1
140,2017[Zn][sql]2[ASR]1
141,2017[Zn][pcu]3[ASR]1
142,2018[Zn][nan]3[ASR]1
143,2018[Cd][nan]3[ASR]2
144,2018[Cd][nan]3[ASR]3
145,2018[Fe][sql]2[ASR]1
146,2018[Co][nia]3[ASR]1
147,2018[Co][nan]3[ASR]1
148,2018[Zr][nan]3[ASR]1
149,2018[Zr][nan]3[ASR]2
150,2018[Zn][vtx]3[ASR]1
151,2019[In][bpq]3[ASR]1
152,2019[Mg][nan]3[ASR]1
153,2019[Mg][nan]3[ASR]2
154,2019[Mg][nan]3[ASR]3
155,2019[Co][nan]3[ASR]1
156,2019[Co][nan]3[ASR]2
157,2019[Ni][nan]3[ASR]1
158,2019[Ni][nan]3[ASR]2
159,2019[Ni][nan]3[ASR]3
160,2019[La][pcu]3[ASR]1
