coreid,refcode,Density,GSA,VSA,PV,VF,LCD,PLD
2023[Ho][bey]2[FSR]1,d3ce00138e2_8_FSR_pacman,1.25252,705.612,883.792,0.400952,0.5022,5.77347,3.75877
2023[Hf][hcp]3[FSR]1,d2ce01529c4_FSR_pacman,0.837949,2387.25,2000.4,0.908886,0.7616,15.48228,8.99991
2023[Gd][nan]3[FSR]1,d3ce00138e2_5_FSR_pacman,1.38903,438.061,608.48,0.333614,0.4634,5.50421,3.43728
2023[Gd][bey]2[FSR]1,d3ce00138e2_3_FSR_pacman,1.23205,717.631,884.158,0.408425,0.5032,5.8129,3.77191
2023[Fe][nan]3[FSR]1,d2sc06699h2_FSR_pacman,1.2805,1225.44,1569.17,0.457791,0.5862,5.81881,4.18743
2023[Eu][nan]3[FSR]2,d2ta07042a2_1_FSR_pacman,0.806479,1297.21,1046.18,0.840691,0.678,27.15502,25.74871
2023[Eu][nan]3[FSR]1,d2dt00869f2_FSR_pacman,1.08349,1158.34,1255.06,0.524968,0.5688,11.10449,10.13408
2023[Eu][nan]2[FSR]2,d2qi00859a2_FSR_pacman,1.3302,350.456,466.178,0.341001,0.4536,6.37581,4.82083
2023[Eu][nan]2[FSR]1,d1dt03995d2_FSR_pacman,1.26715,983.632,1246.41,0.400427,0.5074,5.80341,4.80398
2023[Eu][mog]3[FSR]1,d3ce00358b2_2_FSR_pacman,1.49898,0,0,0.272319,0.4082,5.20483,2.81365
2023[Eu][bey]3[FSR]1,d3ce00138e2_1_FSR_pacman,1.21376,729.482,885.419,0.416226,0.5052,5.88034,3.77364
2023[Eu][bey]2[FSR]1,d3ce00138e2_2_FSR_pacman,1.22293,710.432,868.81,0.411797,0.5036,5.79425,3.75724
2023[Er][nan]3[FSR]1,d3ce00138e2_7_FSR_pacman,1.42989,422.841,604.614,0.321704,0.46,5.45464,3.41317
2023[CuTi][nan]3[FSR]1,d3sc00877k2_3_FSR_pacman,1.12043,1485.59,1664.5,0.491419,0.5506,5.93912,4.91288
2023[CuSi][nan]3[FSR]1,d3sc00877k2_6_FSR_pacman,1.10716,1498.91,1659.53,0.505438,0.5596,6.08551,5.16815
2023[CuSc][flu]3[FSR]1,d2ce00133k2_FSR_pacman,0.949918,2145.76,2038.3,0.728695,0.6922,9.7198,6.03297
2023[Cu][sql]2[FSR]1,d2qi00890d2_1_FSR_pacman,0.599993,4162.7,2497.59,1.20535,0.7232,7.92582,6.11938
2023[Cu][nan]3[FSR]4,d2qi00853j2_1_FSR_pacman,0.990781,1705.08,1689.36,0.597509,0.592,7.25479,4.50685
2023[Cu][nan]3[FSR]3,d2ce01496c2_3_FSR_pacman,1.30013,631.046,820.443,0.396729,0.5158,7.28525,5.71966
2023[Cu][ctn]3[FSR]1,d2qi00678b2_FSR_pacman,0.505831,4632.5,2343.26,1.53411,0.776,9.50808,7.56799
2023[CrMn][qtz]3[FSR]1,ja206917z_si_001_FSR_pacman,1.30832,567.407,742.352,0.423595,0.5542,5.82674,4.72231
2023[Co][sql]2[FSR]2,d3ya00378g2_FSR_pacman,1.23417,0,0,0.384713,0.4748,4.22704,2.86438
2023[Co][sql]2[FSR]1,d2dt02049a2_FSR_pacman,1.13055,1255.14,1419,0.501524,0.567,7.1218,5.22841
2023[Co][nan]3[FSR]2,d1nj06042b1_FSR_pacman,1.11602,1089.14,1215.5,0.461283,0.5148,5.58733,4.22769
2023[Co][nan]3[FSR]1,d1dt04149e2_2_FSR_pacman,1.17786,1083.43,1276.14,0.440458,0.5188,6.61332,5.18804
2023[Co][nan]2[FSR]1,d2dt02383k2_1_FSR_pacman,1.43846,207.789,298.896,0.260974,0.3754,4.59762,3.43271
2023[Co][hcb]2[FSR]2,d3cc02986g2_2_FSR_pacman,1.05931,1536.37,1627.49,0.544505,0.5768,7.58709,5.90024
2023[Co][hcb]2[FSR]1,d3cc02986g2_1_FSR_pacman,1.05949,1527.32,1618.18,0.537239,0.5692,7.56781,5.91685
2023[Co][ato]3[FSR]2,d2dt02968e2_2_FSR_pacman,0.782894,2725.26,2133.59,0.851201,0.6664,11.76063,10.75705
2023[Co][ato]3[FSR]1,d2dt02968e2_1_FSR_pacman,0.803142,2349.79,1887.21,0.826006,0.6634,11.28699,10.40405
2023[Cd][rtl]3[FSR]1,d3ce00557g2_3_FSR_pacman,1.3165,801.5,1055.18,0.381617,0.5024,4.96397,3.87939
2023[Cd][nan]3[FSR]2,d2qi00206j2_1_FSR_pacman,1.13995,1300.73,1482.77,0.508091,0.5792,7.42252,5.62882
2023[Cd][nan]3[FSR]1,adma202204553-sup-0004-jlu-mof88_FSR_pacman,1.24351,0,0,0.410292,0.5102,5.15336,2.94521
2023[Cd][nan]2[FSR]1,adma202204553-sup-0005-jlu-mof89_FSR_pacman,1.27081,0,0,0.388098,0.4932,5.20043,3.16992
2023[Cd][kgd]2[FSR]1,d3ce00557g2_4_FSR_pacman,1.70878,194.145,331.751,0.207166,0.354,4.13667,3.50634
2023[Cd][fsc]3[FSR]1,d2dt02141b2_FSR_pacman,1.25117,0,0,0.379004,0.4742,4.55938,2.83126
2023[Cd][fes]2[FSR]1,d2dt03392e2_FSR_pacman,1.07991,887.086,957.974,0.48504,0.5238,7.45467,6.49944
2023[Cd][eta]3[FSR]1,advs5490-sup-0002-suppmat_4_FSR_pacman,1.11962,1669.35,1869.04,0.583412,0.6532,7.57435,6.80047
2023[Cd][dmp]3[FSR]1,d3ta03300g2_2_FSR_pacman,1.15375,0,0,0.442212,0.5102,5.89449,2.45759
2023[Cd][dia]3[FSR]2,d3ta01574b2_2_FSR_pacman,1.4381,0,0,0.28037,0.4032,4.13995,2.95076
2023[Al][nan]3[FSR]1,42004_2023_850_MOESM4_ESM_FSR_pacman,1.10771,1278.26,1415.94,0.513312,0.5686,5.59563,4.29059
2022[Zn][sql]2[FSR]7,d1tc04239d2_FSR_pacman,1.20811,566.56,684.465,0.38192,0.4614,4.69991,3.41327
2022[Zn][sql]2[FSR]6,d1nj04628d2_FSR_pacman,1.31432,433.284,569.473,0.324275,0.4262,4.91763,3.38676
2022[Zn][pts]3[FSR]6,d2ra00599a2_6_FSR_pacman,1.1718,1549.32,1815.5,0.525343,0.6156,6.87194,5.69591
2022[Zn][pts]3[FSR]5,d2ra00599a2_5_FSR_pacman,1.16929,1547.69,1809.7,0.52784,0.6172,6.88043,5.72296
2022[Zn][pts]3[FSR]4,d2ra00599a2_4_FSR_pacman,1.17106,1545.68,1810.08,0.52619,0.6162,6.87743,5.7109
2022[Zn][pts]3[FSR]3,d2ra00599a2_3_FSR_pacman,1.17232,1544.19,1810.28,0.536542,0.629,6.86607,5.70218
2022[Zn][pts]3[FSR]2,d2ra00599a2_2_FSR_pacman,1.17287,1532.96,1797.95,0.524697,0.6154,6.86755,5.68818
2022[Zn][pts]3[FSR]1,d2ra00599a2_1_FSR_pacman,1.16427,1556.18,1811.82,0.531148,0.6184,6.89454,5.73199
2022[Zn][pcu]3[FSR]3,d1tc03197j2_FSR_pacman,1.04643,1373.61,1437.38,0.537254,0.5622,7.11267,3.81215
2022[Zn][pcu]3[FSR]2,d1qi01206a2_FSR_pacman,0.925547,2094.56,1938.62,0.686513,0.6354,8.32876,5.6982
2022[Zn][pcu]3[FSR]1,d1dt02555d2_FSR_pacman,0.967358,2099.75,2031.21,0.622107,0.6018,5.58976,4.00608
2022[Zn][nan]3[FSR]7,d1dt01685g2_3_FSR_pacman,0.885418,2027.54,1795.22,0.796686,0.7054,11.5279,10.58511
2022[Zn][nan]3[FSR]6,d1dt01685g2_2_FSR_pacman,0.88444,2031.56,1796.8,0.797341,0.7052,11.52485,10.58653
2022[Zn][nan]3[FSR]5,d1dt01685g2_1_FSR_pacman,0.884379,2024.17,1790.13,0.798074,0.7058,11.5324,10.59043
2022[Zn][nan]3[FSR]4,d1ce01074c2_FSR_pacman,0.867138,1999.97,1734.25,0.773348,0.6706,10.63464,9.46333
2022[Zn][nan]3[FSR]3,d1cc04371d2_FSR_pacman,1.12818,1077.48,1215.59,0.497614,0.5614,7.64152,3.58966
2022[Zn][nan]3[FSR]2,d0qm01097a2_3_FSR_pacman,0.962116,1491.75,1435.24,0.651688,0.627,13.36303,8.26092
2022[Zn][kgd]2[FSR]1,d1dt01097b2_FSR_pacman,0.763129,2381.79,1817.62,0.832625,0.6354,9.03512,4.93908
2022[Tb][nan]3[FSR]1,d0tc05573e2_FSR_pacman,1.07791,1227.15,1322.76,0.602836,0.6498,16.50327,4.60014
2022[Tb][hcb]2[FSR]1,d1py01492g2_3_FSR_pacman,1.33951,527.909,707.139,0.333854,0.4472,5.17025,3.9894
2022[Sm][nan]3[FSR]1,d1ay01050f2_FSR_pacman,1.95887,0,0,0.206956,0.4054,3.33681,2.74872
2022[Sc][nan]3[FSR]1,d2cc01197b2_FSR_pacman,1.01537,1645.27,1670.56,0.589733,0.5988,7.29761,7.13277
2022[Ni][nan]3[FSR]1,d1ta05720k2_FSR_pacman,1.1092,1293.08,1434.28,0.502886,0.5578,6.8055,6.19081
2022[Ni][kgd]2[FSR]2,d1ce01210j2_FSR_pacman,0.815754,2178.48,1777.11,0.773762,0.6312,9.61011,3.8556
2022[Ni][kgd]2[FSR]1,d0ta04898d2_FSR_pacman,0.827768,2120.94,1755.65,0.736196,0.6094,9.42475,3.73491
2022[Ni][crb]3[FSR]1,d1ce00762a2_5_FSR_pacman,1.06597,1318.04,1404.99,0.507707,0.5412,6.2418,3.78915
2022[In][nan]3[FSR]2,d2dt03719j3_2_FSR_pacman,1.31754,1597.2,2104.38,0.493646,0.6504,6.97678,6.49204
2022[In][nan]3[FSR]1,d2dt03719j3_1_FSR_pacman,1.31584,1589.31,2091.28,0.499301,0.657,6.98806,6.49312
2022[In][kgm]2[FSR]1,d0tc05655c2_FSR_pacman,1.17906,0,0,0.512952,0.6048,8.735,3.2117
2022[Gd][hcb]2[FSR]1,d1py01492g2_2_FSR_pacman,1.36943,467.381,640.045,0.315606,0.4322,4.94344,3.73164
2022[Eu][pts]3[FSR]1,d1ce01411k2_FSR_pacman,1.5192,0,0,0.28594,0.4344,4.38128,2.81504
2022[Eu][nan]3[FSR]2,d1dt02312h2_FSR_pacman,1.2549,923.412,1158.79,0.408955,0.5132,6.24504,5.25756
2022[Eu][nan]3[FSR]1,d1ce01192h2_FSR_pacman,1.45236,272.83,396.249,0.320994,0.4662,4.79775,3.32692
2022[Eu][hcb]2[FSR]2,d1ta00062d2_1_FSR_pacman,1.28605,0,0,0.375724,0.4832,5.38976,2.66074
2022[Eu][hcb]2[FSR]1,d1py01492g2_1_FSR_pacman,1.32329,538.261,712.277,0.337944,0.4472,5.17376,4.04652
2022[Eu][cco]3[FSR]1,d1ce01503f2_FSR_pacman,1.88142,383.55,721.619,0.234929,0.442,4.5334,3.50291
2022[Er][pcu]3[FSR]1,d1tc01027a2_3_FSR_pacman,1.54334,472.379,729.042,0.280301,0.4326,5.47591,4.42994
2022[CuIn][dia]3[FSR]1,d1dt00764e2_1_FSR_pacman,1.17296,1068.81,1253.67,0.470775,0.5522,7.79568,4.2915
