Features,Model,MSE,R²
"VF,PV,LCD",SK_LR,0.8269715409852078,0.9360982752381013
"VF,PV,PLD",SK_RF,0.063280215,0.9951102127603594
"VF,PV,PLD",XG_RF,3.3093463713860043,0.7442802678382865
"VF,PV,PLD",SK_GB,0.076943066,0.994054457
"VF,PV,PLD",SK_LR,0.880334677,0.9319748002712009
"VF,LCD,PLD",SK_RF,0.32849045588777664,0.9746168934978782
"VF,LCD,PLD",XG_RF,3.3093463713860043,0.7442802678382865
"VF,LCD,PLD",SK_GB,0.3231118169624649,0.9750325115538386
"VF,LCD,PLD",SK_LR,2.4545746305531697,0.8103301689653265
"PV,LCD,PLD",SK_RF,0.080243377,0.9937994356914304
"PV,LCD,PLD",XG_RF,3.3093463713860043,0.7442802678382865
"PV,LCD,PLD",SK_GB,0.10360766072274197,0.9919940313655277
"PV,LCD,PLD",SK_LR,1.2078170784949653,0.9066695881447673
"Density,GSA,VSA,VF",SK_RF,0.061499807,0.9952477884166055
"Density,GSA,VSA,VF",XG_RF,0.4925048794102757,0.9619431749604421
"Density,GSA,VSA,VF",SK_GB,0.084449065,0.9934744539055768
"Density,GSA,VSA,VF",SK_LR,0.9690414172318679,0.9251202552229802
"Density,GSA,VSA,PV",SK_RF,0.054576640902921775,0.9957827551341699
"Density,GSA,VSA,PV",XG_RF,0.4925048794102757,0.9619431749604421
"Density,GSA,VSA,PV",SK_GB,0.12809041972441657,0.9901022002085895
"Density,GSA,VSA,PV",SK_LR,0.35353814587167354,0.972681409
"Density,GSA,VSA,LCD",SK_RF,0.12927018822848774,0.9900110371654937
"Density,GSA,VSA,LCD",XG_RF,0.4925048794102757,0.9619431749604421
"Density,GSA,VSA,LCD",SK_GB,0.16139416449772948,0.9875287540540709
"Density,GSA,VSA,LCD",SK_LR,0.6297652055606309,0.9513367983831552
"Density,GSA,VSA,PLD",SK_RF,0.16841151574464308,0.9869865094595307
"Density,GSA,VSA,PLD",XG_RF,0.4925048794102757,0.9619431749604421
"Density,GSA,VSA,PLD",SK_GB,0.1927561058273432,0.9851053548879324
"Density,GSA,VSA,PLD",SK_LR,0.7815342412527112,0.9396093051557339
"Density,GSA,VF,PV",SK_RF,0.052603845,0.9959351969512745
"Density,GSA,VF,PV",XG_RF,0.2900517782005533,0.9775871260633834
"Density,GSA,VF,PV",SK_GB,0.076656092,0.9940766323403257
"Density,GSA,VF,PV",SK_LR,0.6784462556050681,0.9475751174704676
"Density,GSA,VF,LCD",SK_RF,0.048263253992107846,0.9962706030136865
"Density,GSA,VF,LCD",XG_RF,0.2900517782005533,0.9775871260633834
"Density,GSA,VF,LCD",SK_GB,0.075379613,0.9941752684084431
"Density,GSA,VF,LCD",SK_LR,1.4093759309531158,0.8910947374095649
"Density,GSA,VF,PLD",SK_RF,0.051933091,0.9959870274954522
"Density,GSA,VF,PLD",XG_RF,0.2900517782005533,0.9775871260633834
"Density,GSA,VF,PLD",SK_GB,0.081140622,0.993730104
"Density,GSA,VF,PLD",SK_LR,2.0822200847484362,0.8391027403545535
"Density,GSA,PV,LCD",SK_RF,0.044417418,0.9965677783290698
"Density,GSA,PV,LCD",XG_RF,0.24927928451958375,0.9807376972014827
"Density,GSA,PV,LCD",SK_GB,0.10477122257395181,0.9919041206425167
"Density,GSA,PV,LCD",SK_LR,0.45825311768441557,0.9645898762578151
"Density,GSA,PV,PLD",SK_RF,0.047758764,0.9963095859271806
"Density,GSA,PV,PLD",XG_RF,0.24927928451958375,0.9807376972014827
"Density,GSA,PV,PLD",SK_GB,0.11986862543684262,0.9907375144964157
"Density,GSA,PV,PLD",SK_LR,0.6259716695068468,0.9516299324086556
"Density,GSA,LCD,PLD",SK_RF,0.098590847,0.9923816904963624
"Density,GSA,LCD,PLD",XG_RF,0.6828243658987232,0.9472368122385499
"Density,GSA,LCD,PLD",SK_GB,0.15446991776548616,0.9880638042788225
"Density,GSA,LCD,PLD",SK_LR,1.3593694361478659,0.8949588380575092
"Density,VSA,VF,PV",SK_RF,0.052926664239406236,0.9959102520907035
"Density,VSA,VF,PV",XG_RF,0.38397815448446915,0.9703292494041372
"Density,VSA,VF,PV",SK_GB,0.076976365,0.9940518842013512
"Density,VSA,VF,PV",SK_LR,0.8613074723696814,0.9334450699849192
"Density,VSA,VF,LCD",SK_RF,0.049491526416496096,0.9961756919768419
"Density,VSA,VF,LCD",XG_RF,0.38397815448446915,0.9703292494041372
"Density,VSA,VF,LCD",SK_GB,0.076084631,0.9941207902287555
"Density,VSA,VF,LCD",SK_LR,2.655882727827872,0.7947746945785487
"Density,VSA,VF,PLD",SK_RF,0.053251321175774226,0.9958851652078283
"Density,VSA,VF,PLD",XG_RF,0.38397815448446915,0.9703292494041372
"Density,VSA,VF,PLD",SK_GB,0.08251038,0.9936242598933417
"Density,VSA,VF,PLD",SK_LR,2.530172785976802,0.8044885501417416
"Density,VSA,PV,LCD",SK_RF,0.044049361,0.9965962188631907
"Density,VSA,PV,LCD",XG_RF,0.19755706765603748,0.9847343750825039
"Density,VSA,PV,LCD",SK_GB,0.10331424557659827,0.992016704
"Density,VSA,PV,LCD",SK_LR,0.9116820029836926,0.9295525304829292
