Features,Model,MSE,R²
"PV,LCD",SK_GB,0.08830209982662848,0.993176722294099
"PV,LCD",SK_LR,1.3010945110062726,0.8994618566529036
"PV,PLD",SK_RF,0.12158197588871289,0.9906051205220527
"PV,PLD",XG_RF,0.2184834269570974,0.9831173539565631
"PV,PLD",SK_GB,0.10566022917594499,0.9918354253460324
"PV,PLD",SK_LR,1.3463719974011763,0.8959631758275987
"LCD,PLD",SK_RF,2.0101998889884762,0.8446678831662011
"LCD,PLD",XG_RF,2.5350117270859363,0.8041146356022805
"LCD,PLD",SK_GB,1.9883819170565262,0.8463538009616276
"LCD,PLD",SK_LR,2.823334340046781,0.7818353776799272
"Density,GSA,VSA",SK_RF,0.22167789943376962,0.9828705107571942
"Density,GSA,VSA",XG_RF,0.22211767509678432,0.982836528422879
"Density,GSA,VSA",SK_GB,0.19823292265335365,0.9846821504316218
"Density,GSA,VSA",SK_LR,1.225024302592058,0.9053399519436729
"Density,GSA,VF",SK_RF,0.06455570216018472,0.9950116533558861
"Density,GSA,VF",XG_RF,0.08613938519783286,0.9933438395261904
"Density,GSA,VF",SK_GB,0.05635592310940151,0.9956452664828714
"Density,GSA,VF",SK_LR,3.879051911409149,0.7002579952332137
"Density,GSA,PV",SK_RF,0.05563585556779915,0.9957009075243983
"Density,GSA,PV",XG_RF,0.24266557981367426,0.9812487512303433
"Density,GSA,PV",SK_GB,0.052891136457134204,0.9959129973926294
"Density,GSA,PV",SK_LR,0.6990606258705332,0.9459822043536822
"Density,GSA,LCD",SK_RF,0.13462694248509244,0.9895971101811202
"Density,GSA,LCD",XG_RF,0.2528590057664294,0.9804610850685335
"Density,GSA,LCD",SK_GB,0.12328669840901173,0.9904733932450079
"Density,GSA,LCD",SK_LR,1.4690893938416236,0.8864805601604477
"Density,GSA,PLD",SK_RF,0.17365348188980329,0.9865814523793074
"Density,GSA,PLD",XG_RF,0.2744559699713263,0.9787922449768058
"Density,GSA,PLD",SK_GB,0.16867350429904823,0.9869662650863392
"Density,GSA,PLD",SK_LR,2.0934894451618926,0.8382319346113165
"Density,VSA,VF",SK_RF,0.06542362055280987,0.9949445875870022
"Density,VSA,VF",XG_RF,0.08205024711738271,0.9936598153042916
"Density,VSA,VF",SK_GB,0.056342579050251154,0.9956462976046849
"Density,VSA,VF",SK_LR,3.858822270803281,0.7018211795291186
"Density,VSA,PV",SK_RF,0.0559504047307335,0.9956766016891455
"Density,VSA,PV",XG_RF,0.20535657190452067,0.9841316919802873
"Density,VSA,PV",SK_GB,0.05378833247630187,0.9958436692837007
"Density,VSA,PV",SK_LR,1.078892919021734,0.9166318126537301
"Density,VSA,LCD",SK_RF,0.13545877226065065,0.9895328330509747
"Density,VSA,LCD",XG_RF,0.24992842345356725,0.9806875369535953
"Density,VSA,LCD",SK_GB,0.12375332981003287,0.9904373357147599
"Density,VSA,LCD",SK_LR,2.863044252538133,0.7787669142896171
"Density,VSA,PLD",SK_RF,0.17081247615200457,0.9868009825054439
"Density,VSA,PLD",XG_RF,0.27066246412594785,0.9790853766680431
"Density,VSA,PLD",SK_GB,0.15916729506114868,0.987700828654906
"Density,VSA,PLD",SK_LR,2.889480976844702,0.7767240963732569
"Density,VF,PV",SK_RF,0.06378643981587531,0.9950710957770088
"Density,VF,PV",XG_RF,0.09586808007083265,0.9925920840530501
"Density,VF,PV",SK_GB,0.06209507959044855,0.99520179052313
"Density,VF,PV",SK_LR,0.925910135593317,0.9284530945666547
"Density,VF,LCD",SK_RF,0.05340700883375346,0.995873134914915
"Density,VF,LCD",XG_RF,0.08023180655987999,0.993800329798736
